Category,Datadog Metric Name,Prometheus Source,Type,Description,Enabled in Dashboard,Enable in DD Agent,Tags,Alert Threshold
K8s Events,cilium.kubernetes.events_received.count,cilium_kubernetes_events_received_total,counter,K8s events received,YES,YES,"kube_cluster_name, scope, action",—
K8s Events,cilium.k8s_event.lag.seconds,cilium_k8s_event_lag_seconds,gauge,Event processing lag,YES,YES,kube_cluster_name,>5s
K8s Workqueue,cilium.k8s.workqueue.depth,cilium_k8s_workqueue_depth,gauge,Workqueue depth,YES,YES,"kube_cluster_name, name",>100 sustained
K8s Workqueue,cilium.k8s.workqueue.adds.total,cilium_k8s_workqueue_adds_total,counter,Workqueue adds,YES,YES,"kube_cluster_name, name",—
K8s Workqueue,cilium.k8s.workqueue.retries.total,cilium_k8s_workqueue_retries_total,counter,Workqueue retries,YES,YES,"kube_cluster_name, name",High retry rate
K8s Workqueue,cilium.k8s.workqueue.longest.running.processor.seconds,cilium_k8s_workqueue_longest_running_processor_seconds,gauge,Longest processor,YES,YES,"kube_cluster_name, name",>30s
K8s Workqueue,cilium.k8s.workqueue.queue.duration.seconds.sum,cilium_k8s_workqueue_queue_duration_seconds_sum,counter,Queue duration (sum),YES,YES,"kube_cluster_name, name",Avg >5s
K8s Workqueue,cilium.k8s.workqueue.queue.duration.seconds.count,cilium_k8s_workqueue_queue_duration_seconds_count,counter,Queue duration (count),YES,YES,"kube_cluster_name, name",—
K8s Workqueue,cilium.k8s_terminating.endpoints_events.count,cilium_k8s_terminating_endpoints_events_total,counter,Terminating endpoint events,YES,YES,kube_cluster_name,—
Services & Proxy,cilium.services.events.count,cilium_services_events_total,counter,Service events by action,YES,YES,"kube_cluster_name, action",—
Services & Proxy,cilium.proxy.redirects,cilium_proxy_redirects,gauge,Active proxy redirects,YES,YES,kube_cluster_name,—
Services & Proxy,cilium.proxy.upstream_reply.seconds.sum,cilium_proxy_upstream_reply_seconds_sum,counter,Upstream reply latency (sum),YES,YES,kube_cluster_name,Avg >500ms
Services & Proxy,cilium.proxy.upstream_reply.seconds.count,cilium_proxy_upstream_reply_seconds_count,counter,Upstream reply latency (count),YES,YES,kube_cluster_name,—
Services & Proxy,cilium.proxy.datapath.update_timeout.count,cilium_proxy_datapath_update_timeout_total,counter,Proxy update timeouts,YES,YES,kube_cluster_name,>0
Operator IPAM,cilium.operator.ipam.ips,cilium_operator_ipam_ips,gauge,IPAM IPs by type,YES,YES,"kube_cluster_name, type",—
Operator IPAM,cilium.operator.ipam.nodes,cilium_operator_ipam_nodes,gauge,IPAM nodes by category,YES,YES,"kube_cluster_name, category",at-capacity
Operator IPAM,cilium.operator.ipam.available_ips,cilium_operator_ipam_available_ips,gauge,Available IPs,YES,YES,kube_cluster_name,Low and decreasing
Operator IPAM,cilium.operator.ipam.used_ips,cilium_operator_ipam_used_ips,gauge,Used IPs,YES,YES,kube_cluster_name,Near available
Operator IPAM,cilium.operator.ipam.needed_ips,cilium_operator_ipam_needed_ips,gauge,Needed IPs,YES,YES,kube_cluster_name,>0 sustained
Operator IPAM,cilium.operator.ipam.available_interfaces,cilium_operator_ipam_available_interfaces,gauge,Available NICs,YES,YES,kube_cluster_name,0
Operator IPAM,cilium.operator.ipam.allocation_ops.count,cilium_operator_ipam_allocation_ops_total,counter,Allocation ops,YES,YES,kube_cluster_name,—
Operator IPAM,cilium.operator.ipam.release_ops.count,cilium_operator_ipam_release_ops_total,counter,Release ops,YES,YES,kube_cluster_name,—
Operator IPAM,cilium.operator.ipam.allocation.duration.seconds.sum,cilium_operator_ipam_allocation_duration_seconds_sum,counter,Allocation duration (sum),YES,YES,kube_cluster_name,Avg >5s
Operator IPAM,cilium.operator.ipam.allocation.duration.seconds.count,cilium_operator_ipam_allocation_duration_seconds_count,counter,Allocation duration (count),YES,YES,kube_cluster_name,—
Operator GC,cilium.operator.identity_gc.entries,cilium_operator_identity_gc_entries,gauge,Identity GC entries,YES,YES,kube_cluster_name,—
Operator GC,cilium.operator.identity_gc.runs,cilium_operator_identity_gc_runs,gauge,Identity GC runs,YES,YES,kube_cluster_name,—
Operator Azure,cilium.operator.azure.api.duration.seconds.sum,cilium_operator_azure_api_duration_seconds_sum,counter,Azure API latency (sum),YES,YES,kube_cluster_name,Avg >2s
Operator Azure,cilium.operator.azure.api.duration.seconds.count,cilium_operator_azure_api_duration_seconds_count,counter,Azure API latency (count),YES,YES,kube_cluster_name,—
Operator Azure,cilium.operator.azure.api.rate_limit.duration.seconds.sum,cilium_operator_azure_api_rate_limit_duration_seconds_sum,counter,Azure rate limit wait (sum),YES,YES,kube_cluster_name,Any wait
Operator Azure,cilium.operator.azure.api.rate_limit.duration.seconds.count,cilium_operator_azure_api_rate_limit_duration_seconds_count,counter,Azure rate limit wait (count),YES,YES,kube_cluster_name,—
Operator CES,cilium.operator.ces.queueing_delay.seconds.sum,cilium_operator_ces_queueing_delay_seconds_sum,counter,CES queue delay (sum),YES,YES,kube_cluster_name,Increasing
Operator CES,cilium.operator.ces.queueing_delay.seconds.count,cilium_operator_ces_queueing_delay_seconds_count,counter,CES queue delay (count),YES,YES,kube_cluster_name,—
Operator CES,cilium.operator.ces.sync.total,cilium_operator_ces_sync_total,counter,CES syncs,YES,YES,kube_cluster_name,—
Operator CES,cilium.operator.ces.sync_errors.count,cilium_operator_ces_sync_errors_total,counter,CES sync errors,YES,YES,kube_cluster_name,>0
Agent Resources,cilium.process.cpu.seconds.count,cilium_process_cpu_seconds_total,counter,Agent CPU,YES,YES,"kube_cluster_name, host",Outlier
Agent Resources,cilium.process.resident_memory.bytes,cilium_process_resident_memory_bytes,gauge,Agent memory,YES,YES,"kube_cluster_name, host",>1GB or outlier
Agent Resources,cilium.operator.process.cpu.seconds.count,cilium_operator_process_cpu_seconds_total,counter,Operator CPU,YES,YES,kube_cluster_name,Sustained spike
Agent Resources,cilium.operator.process.resident_memory.bytes,cilium_operator_process_resident_memory_bytes,gauge,Operator memory,YES,YES,kube_cluster_name,>512MB
Agent Resources,cilium.process.open_fds,cilium_process_open_fds,gauge,Open file descriptors,YES,YES,"kube_cluster_name, host",>80% of max
Agent Resources,cilium.process.max_fds,cilium_process_max_fds,gauge,Max file descriptors,YES,YES,"kube_cluster_name, host",—
Agent Internals,cilium.agent.api_process_time.seconds.sum,cilium_agent_api_process_time_seconds_sum,counter,API process time (sum),YES,YES,kube_cluster_name,Avg >1s
Agent Internals,cilium.agent.api_process_time.seconds.count,cilium_agent_api_process_time_seconds_count,counter,API process time (count),YES,YES,kube_cluster_name,—
Agent Internals,cilium.subprocess.start.count,cilium_subprocess_start_total,counter,Subprocess forks,YES,YES,kube_cluster_name,Unexpected spikes
Agent Internals,cilium.triggers_policy.update_call_duration.seconds.sum,cilium_triggers_policy_update_call_duration_seconds_sum,counter,Policy trigger duration (sum),YES,YES,kube_cluster_name,Increasing
Agent Internals,cilium.triggers_policy.update_call_duration.seconds.count,cilium_triggers_policy_update_call_duration_seconds_count,counter,Policy trigger duration (count),YES,YES,kube_cluster_name,—
Agent Internals,cilium.triggers_policy.update_folds,cilium_triggers_policy_update_folds,gauge,Trigger folds (batching),YES,YES,kube_cluster_name,—
Agent Internals,cilium.errors_warning.count,cilium_errors_warnings_total,counter,Agent errors/warnings,YES,YES,kube_cluster_name,Spike
Agent Internals,cilium.operator.errors.warnings.total,cilium_operator_errors_warnings_total,counter,Operator errors/warnings,YES,YES,kube_cluster_name,Spike
IPCache,cilium.ipcache.errors.count,cilium_ipcache_errors_total,counter,IPCache errors,YES,YES,"kube_cluster_name, type, error",>0
IPCache,cilium.ipam.events.count,cilium_ipam_events_total,counter,IPAM events,YES,YES,"kube_cluster_name, type",—
IPCache,cilium.ipam.capacity,cilium_ipam_capacity,gauge,IPAM capacity (may be empty on AKS),YES,YES,kube_cluster_name,—
Node Mgmt,cilium.nodes.all_datapath_validations.count,cilium_nodes_all_datapath_validations_total,counter,Datapath validations,YES,YES,kube_cluster_name,—
Node Mgmt,cilium.nodes.all_events_received.count,cilium_nodes_all_events_received_total,counter,Node events received,YES,YES,"kube_cluster_name, event_type, source",—
Service Check,cilium.openmetrics.health,N/A (DD agent check),service_check,Cilium OpenMetrics scrape health,YES,YES (auto),kube_cluster_name,Status != OK
Non-Cilium,kubernetes.containers.restarts,kubelet,counter,Container restarts,YES,YES (auto),"kube_cluster_name, host, kube_container_name",>2 in 15m
Non-Cilium,kubernetes_state.node.count,KSM Core,gauge,Node count,YES,YES,kube_cluster_name,Drop
Non-Cilium,kubernetes_state.node.by_condition,KSM Core,gauge,Nodes by condition,YES,YES,"kube_cluster_name, condition, status","ready=false"
Non-Cilium,kubernetes_state.node.status,KSM Core,gauge,Node scheduling status,YES,YES,"kube_cluster_name, status",unschedulable
Non-Cilium,kubernetes_state.node.cpu_allocatable,KSM Core,gauge,Allocatable CPU,YES,YES,"kube_cluster_name, host",Low headroom
Non-Cilium,kubernetes_state.node.memory_allocatable,KSM Core,gauge,Allocatable memory,YES,YES,"kube_cluster_name, host",Low headroom
Non-Cilium,kubernetes_state.node.pods_allocatable,KSM Core,gauge,Allocatable pods,YES,YES,"kube_cluster_name, host",Near limit
Non-Cilium,kubernetes.cpu.usage.total,kubelet,gauge,CPU usage,YES,YES (auto),"kube_cluster_name, host",>80% of allocatable
Non-Cilium,kubernetes.cpu.requests,kubelet,gauge,CPU requests,YES,YES (auto),"kube_cluster_name, host",—
Non-Cilium,kubernetes.memory.usage,kubelet,gauge,Memory usage,YES,YES (auto),"kube_cluster_name, host",>80% of allocatable
Non-Cilium,kubernetes.memory.requests,kubelet,gauge,Memory requests,YES,YES (auto),"kube_cluster_name, host",—
Non-Cilium,kubernetes.pods.running,kubelet,gauge,Running pods,YES,YES (auto),"kube_cluster_name, host",Near allocatable
Non-Cilium,system.cpu.user,DD Agent,gauge,User CPU %,YES,YES (auto),"kube_cluster_name, host",Total >80%
Non-Cilium,system.cpu.system,DD Agent,gauge,System CPU %,YES,YES (auto),"kube_cluster_name, host",—
Non-Cilium,system.cpu.iowait,DD Agent,gauge,IO wait CPU %,YES,YES (auto),"kube_cluster_name, host",—
Non-Cilium,system.cpu.stolen,DD Agent,gauge,Stolen CPU %,YES,YES (auto),"kube_cluster_name, host",—
Non-Cilium,system.mem.pct_usable,DD Agent,gauge,Usable memory %,YES,YES (auto),"kube_cluster_name, host",<15%
Non-Cilium,system.mem.used,DD Agent,gauge,Used memory bytes,YES,YES (auto),"kube_cluster_name, host",—
Non-Cilium,system.mem.total,DD Agent,gauge,Total memory bytes,YES,YES (auto),"kube_cluster_name, host",—
Non-Cilium,system.disk.in_use,DD Agent,gauge,Disk usage ratio,YES,YES (auto),"kube_cluster_name, host",>85%
Non-Cilium,system.io.util,DD Agent,gauge,Disk I/O util %,YES,YES (auto),"kube_cluster_name, host",>90% sustained
Non-Cilium,system.net.bytes_rcvd,DD Agent,gauge,Network bytes in,YES,YES (auto),"kube_cluster_name, host",Saturation
Non-Cilium,system.net.bytes_sent,DD Agent,gauge,Network bytes out,YES,YES (auto),"kube_cluster_name, host",Saturation
Non-Cilium,system.net.packets_in.error,DD Agent,gauge,Inbound packet errors,YES,YES (auto),"kube_cluster_name, host",>0 sustained
Non-Cilium,system.net.packets_out.error,DD Agent,gauge,Outbound packet errors,YES,YES (auto),"kube_cluster_name, host",>0 sustained
Non-Cilium,system.net.packets_in.drop,DD Agent,gauge,Inbound packet drops,YES,YES (auto),"kube_cluster_name, host",>0 sustained
Non-Cilium,system.net.conntrack.count,DD Agent,gauge,Conntrack entries,YES,YES (auto),"kube_cluster_name, host",>80% of max
Non-Cilium,system.net.conntrack.max,DD Agent,gauge,Conntrack max,YES,YES (auto),"kube_cluster_name, host",—
Non-Cilium,system.load.norm.1,DD Agent,gauge,1min normalized load,YES,YES (auto),"kube_cluster_name, host",>1.0 sustained
Non-Cilium,system.load.norm.5,DD Agent,gauge,5min normalized load,YES,YES (auto),"kube_cluster_name, host",>1.0 sustained
Non-Cilium,system.load.norm.15,DD Agent,gauge,15min normalized load,YES,YES (auto),"kube_cluster_name, host",>1.0 sustained
Non-Cilium,system.uptime,DD Agent,gauge,System uptime seconds,YES,YES (auto),"kube_cluster_name, host",—
Non-Cilium,oom_kill.oom_process.count,DD Agent,counter,OOM kill events,YES,YES (auto),"kube_cluster_name, host",>0
Non-Cilium,tcp_queue.read_buffer_max_usage_pct,DD Agent,gauge,TCP read buffer usage %,YES,YES (auto),"kube_cluster_name, host",>80%
